link,heading,desc,job_levels,languages,assessment_length,test_type,remote_testing,dataset_id
https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Adobe Experience Manager (New),"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17,Test Type:K,Remote Testing:,a9f53d4a-ecc6-4a9a-8562-b918ed34777e
https://www.shl.com/products/product-catalog/view/net-mvvm-new/,.NET MVVM (New),"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,Test Type:K,Remote Testing:,534beea8-9054-4d80-a017-82fa75feb810
https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Adobe Photoshop CC,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 20,Test Type:K,Remote Testing:,d3d7483b-373b-4f46-8f23-2eb00a6549be
https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Aeronautical Engineering (New),"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,Test Type:K,Remote Testing:,25f5daf0-27ee-44c8-a003-c8838a12ea19
https://www.shl.com/products/product-catalog/view/ai-skills/,AI Skills,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,","English (USA),",Approximate Completion Time in minutes = 16,Test Type:P,Remote Testing:,94df9289-846e-4245-9398-ef4a9799e839
https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New),Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,Test Type:S,Remote Testing:,ff6f7e60-db9e-4d46-af52-73691be8f595
https://www.shl.com/products/product-catalog/view/ado-net-new/,ADO.NET (New),"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,Test Type:K,Remote Testing:,dd472688-9477-48f6-b880-cb9e8418047a
https://www.shl.com/products/product-catalog/view/net-xaml-new/,.NET XAML (New),"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,Test Type:K,Remote Testing:,7572ebe2-af19-460f-b6c6-a784aaad7221
https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Accounts Payable (New),"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,Test Type:K,Remote Testing:,e150c6d2-5b72-43ee-800c-9551e1a281e7
https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Adobe Photoshop CC,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 20,Test Type:K,Remote Testing:,aac59b27-b3e0-40d4-bbda-93278fec3830
